"province" "country" "latitude" "longitude"
"New Mexico" "United States" 35.69079601 -106.8626291
"New Mexico" "United States" 35.69079601 -106.8626291
"New Mexico" "United States" 35.05211207 -106.6656831
"Massachusetts" "United States" 42.16118 -71.2101
"Minnesota" "United States" 45.55386531 -94.61265959
"Oregon" "United States" 44.90323415 -123.4145084
"Minnesota" "United States" 44.67284514 -93.06756945
"Minnesota" "United States" 45.00652234 -93.47836029
"Minnesota" "United States" 45.00652234 -93.47836029
"Minnesota" "United States" 45.00652234 -93.47836029
"Minnesota" "United States" 45.01977974 -93.09952775
"Minnesota" "United States" 44.72751802 -94.94429616
"Kansas" "United States" 38.88362378 -94.82234639
"Kansas" "United States" 39.11382886 -94.76536199
"California" "United States" 37.23166 -121.693
"California" "United States" 37.23166 -121.693
"California" "United States" 37.23166 -121.693
"Texas" "United States" 29.5271845 -95.77118101
"Kansas" "United States" 37.78278781 -96.83879442
"Kansas" "United States" 38.56474513 -95.28642653
"Florida" "United States" 26.11598906 -81.34283574
"Oregon" "United States" 44.90372993 -122.584311
"Pennsylvania" "United States" 40.47017942 -79.98108787
"Pennsylvania" "United States" 40.47017942 -79.98108787
"Pennsylvania" "United States" 40.33902796 -75.10792661
"Pennsylvania" "United States" 39.97435142 -75.74850769
"Pennsylvania" "United States" 39.97435142 -75.74850769
"Pennsylvania" "United States" 40.1649009 -77.2650709
"Pennsylvania" "United States" 40.1649009 -77.2650709
"Pennsylvania" "United States" 40.1649009 -77.2650709
"Pennsylvania" "United States" 39.91745099 -75.39947394
"Pennsylvania" "United States" 39.91745099 -75.39947394
"Oregon" "United States" 45.59429 -118.739
"Pennsylvania" "United States" 39.91745099 -75.39947394
"Pennsylvania" "United States" 41.05851592 -75.33787891
"Pennsylvania" "United States" 40.21122015 -75.36693918
"Pennsylvania" "United States" 40.21122015 -75.36693918
"Pennsylvania" "United States" 40.21122015 -75.36693918
"Pennsylvania" "United States" 40.00826241 -75.1354419
"Pennsylvania" "United States" 40.00826241 -75.1354419
"Pennsylvania" "United States" 40.00826241 -75.1354419
"Pennsylvania" "United States" 40.1916495 -80.24867551
"Oregon" "United States" 43.91642499 -121.2279415
"New Jersey" "United States" 40.96031581 -74.07497372
"New York" "United States" 40.90861 -73.7819
"New York" "United States" 40.90861 -73.7819
"New York" "United States" 40.90861 -73.7819
"New York" "United States" 40.90861 -73.7819
"New York" "United States" 40.90861 -73.7819
"Maryland" "United States" 39.13748574 -77.20252273
"Maryland" "United States" 39.13748574 -77.20252273
"Maryland" "United States" 39.13748574 -77.20252273
"Arizona" "United States" 33.3520462 -112.489233
"Rhode Island" "United States" 41.87556 -71.3761
"Rhode Island" "United States" 41.87556 -71.3761
"Florida" "United States" 27.96806 -82.4764
"Florida" "United States" 27.96806 -82.4764
"Florida" "United States" 27.47160807 -82.30022041
"Florida" "United States" 30.73308176 -87.01789697
"Georgia" "United States" 33.79076629 -84.46678675
"Georgia" "United States" 33.79076629 -84.46678675
"Georgia" "United States" 34.26257121 -85.21456645
"Tennessee" "United States" 35.89432895 -86.89947535
"Massachusetts" "United States" 42.29639 -71.2931
"Massachusetts" "United States" 42 -70.75
"Massachusetts" "United States" 42.48609196 -71.39239708
"Massachusetts" "United States" 42.3601 -71.0589
"Massachusetts" "United States" 42.3601 -71.0589
"Massachusetts" "United States" 42.3601 -71.0589
"Illinois" "United States" 41.84368402 -87.81673673
"Illinois" "United States" 41.84368402 -87.81673673
"Illinois" "United States" 41.8781 -87.6298
"Arizona" "United States" 33.3520462 -112.489233
"California" "United States" 37.87167 -122.273
"California" "United States" 33.70329 -117.761
"California" "United States" 33.70329 -117.761
"California" "United States" 37.91727452 -121.9256384
"California" "United States" 34.05 -118.25
"California" "United States" 34.05 -118.25
"California" "United States" 34.05 -118.25
"California" "United States" 34.05 -118.25
"California" "United States" 34.05 -118.25
"California" "United States" 37.35444 -121.969
"California" "United States" 37.35444 -121.969
"California" "United States" 37.35444 -121.969
"California" "United States" 37.7775 -122.416
"California" "United States" 37.7775 -122.416
"California" "United States" 32.715 -117.163
"California" "United States" 34.05 -118.25
"California" "United States" 34.05 -118.25
"Rhode Island" "United States" 41.67672221 -71.55440889
"California" "United States" 34.05 -118.25
"California" "United States" 34.05 -118.25
"California" "United States" 37.23166 -121.693
"California" "United States" 37.23166 -121.693
"California" "United States" 37.23166 -121.693
"California" "United States" 37.23166 -121.693
"California" "United States" 37.23166 -121.693
"California" "United States" 37.23166 -121.693
"California" "United States" 37.91727452 -121.9256384
"California" "United States" 37.91727452 -121.9256384
"California" "United States" 37.91727452 -121.9256384
"California" "United States" 38.6872042 -121.9023979
"Nevada" "United States" 36.21921388 -115.0185742
"Nevada" "United States" 39.52722 -119.822
"New Hampshire" "United States" 43.94185668 -71.82009048
"New Hampshire" "United States" 43.94185668 -71.82009048
"New Jersey" "United States" 40.96031581 -74.07497372
